x,status,success,message,nfev,fun,maxcv
[-0.52477759  0.88536803],1,True,Optimization terminated successfully.,5,1.106560837021425,0.0
[0.79458188 1.94113145],1,True,Optimization terminated successfully.,8,1.1601523916938121,0.0
[-0.15577962  1.66877009],1,True,Optimization terminated successfully.,18,0.6935865883733798,0.0
[-0.0539352   1.70887692],1,True,Optimization terminated successfully.,22,0.5954750361571169,0.0
[0.0102785  1.68903273],1,True,Optimization terminated successfully.,28,0.5474792483911617,0.0
[0.0024881  1.68758564],1,True,Optimization terminated successfully.,34,0.5388710558625227,0.0
[5.46199049e-04 1.68685430e+00],1,True,Optimization terminated successfully.,41,0.5367186998965565,0.0
[1.77699134e-04 1.68673480e+00],1,True,Optimization terminated successfully.,45,0.5363101223081791,0.0
[2.52741189e-05 1.68671055e+00],1,True,Optimization terminated successfully.,50,0.5361411031466595,0.0
[1.00153140e-05 1.68670674e+00],1,True,Optimization terminated successfully.,55,0.5361241822177382,0.0
[2.38593851e-06 1.68670579e+00],1,True,Optimization terminated successfully.,61,0.5361157217361247,0.0
[4.80056214e-07 1.68670507e+00],1,True,Optimization terminated successfully.,68,0.5361136082292299,0.0
[1.22418192e-07 1.68670495e+00],1,True,Optimization terminated successfully.,72,0.5361132116304024,0.0
[-2.65961092e-08  1.68670494e+00],1,True,Optimization terminated successfully.,76,0.5361131053695277,0.0
[-4.24436744e-09  1.68670494e+00],1,True,Optimization terminated successfully.,78,0.5361130805828018,0.0
[1.34135217e-09 1.68670493e+00],1,True,Optimization terminated successfully.,85,0.5361130773635342,0.0
[4.10029599e-10 1.68670493e+00],1,True,Optimization terminated successfully.,90,0.5361130763307537,0.0
[6.07836337e-11 1.68670493e+00],1,True,Optimization terminated successfully.,92,0.5361130759434611,0.0
[-2.65272921e-11  1.68670493e+00],1,True,Optimization terminated successfully.,99,0.5361130759054729,0.0
[9.85249595e-12 1.68670493e+00],1,True,Optimization terminated successfully.,101,0.5361130758869815,0.0
[-2.88042981e-12  1.68670493e+00],1,True,Optimization terminated successfully.,106,0.5361130758792502,0.0
[3.02801555e-13 1.68670493e+00],1,True,Optimization terminated successfully.,111,0.5361130758763916,0.0
[-1.51938773e-13  1.68670493e+00],1,True,Optimization terminated successfully.,116,0.5361130758762247,0.0
[1.85797677e-14 1.68670493e+00],1,True,Optimization terminated successfully.,121,0.5361130758760764,0.0
[-9.82019085e-15  1.68670493e+00],1,True,Optimization terminated successfully.,127,0.5361130758760666,0.0
[-2.62587751e-15  1.68670493e+00],1,True,Optimization terminated successfully.,132,0.5361130758760588,0.0
[5.69831161e-16 1.68670493e+00],1,True,Optimization terminated successfully.,137,0.5361130758760566,0.0
[-1.04158451e-16  1.68670493e+00],1,True,Optimization terminated successfully.,144,0.5361130758760558,0.0
[4.29426980e-18 1.68670493e+00],1,True,Optimization terminated successfully.,145,0.5361130758760557,0.0
[4.29426980e-18 1.68670493e+00],1,True,Optimization terminated successfully.,147,0.5361130758760557,0.0
[4.29426980e-18 1.68670493e+00],1,True,Optimization terminated successfully.,149,0.5361130758760557,0.0
