Nelder-Mead,time,matrix,degree
[3.14159265 3.41590264],0.043610334396362305,"[[-3.60921818e-33+1.01564777e-33j  1.65867868e-17+5.89430060e-17j]
 [ 1.65867868e-17+5.89430060e-17j  9.62612340e-01-2.70882785e-01j]]",(0.2022264751133359-0.21821316562338136j)
[0.         6.03088591],0.03280353546142578,"[[0.96834098+0.24963122j 0.        +0.j        ]
 [0.        +0.j         0.        +0.j        ]]",(0.03085508833458815-0.24962993963809355j)
[3.14159265 3.31440364],0.037062883377075195,"[[-3.69355329e-33+6.44717273e-34j  1.05290321e-17+6.03203029e-17j]
 [ 1.05290321e-17+6.03203029e-17j  9.85105304e-01-1.71952143e-01j]]",(0.01634404029716936-0.16916486890888363j)
[1.64171694 3.14162977],0.04503345489501953,"[[-4.64569410e-01+1.72437093e-05j  1.85121550e-05+4.98743093e-01j]
 [ 1.85121550e-05+4.98743093e-01j  5.35430589e-01-1.98739074e-05j]]",(0.6048243888626174+4.040446257463122e-06j)
[2.13648179 3.53490608],0.049768924713134766,"[[-0.21428795+0.08891525j  0.16177432+0.38988012j]
 [ 0.16177432+0.38988012j  0.70935631-0.29433569j]]",(0.39484092662372067+0.5821128092518497j)
[1.58829232 2.95519551],0.054121971130371094,"[[-0.48274312-0.09103873j -0.09264565+0.49126395j]
 [-0.09264565+0.49126395j  0.49993518+0.09428092j]]",(0.7308443213005903-0.1288802748082474j)
[1.42125534 3.141575  ],0.03766059875488281,"[[-5.74492131e-01-1.01430959e-05j -8.72935763e-06+4.94419784e-01j]
 [-8.72935763e-06+4.94419784e-01j  4.25507869e-01+7.51266532e-06j]]",(0.9117238696984505+3.3147644319508684e-06j)
[3.14159265 3.41590264],0.03995919227600098,"[[-3.60921818e-33+1.01564777e-33j  1.65867868e-17+5.89430060e-17j]
 [ 1.65867868e-17+5.89430060e-17j  9.62612340e-01-2.70882785e-01j]]",(0.058558682185814864-0.2553207856019367j)
[1.72412907 3.14161696],0.036028385162353516,"[[-4.23633691e-01+1.02977376e-05j  1.20114620e-05+4.94133774e-01j]
 [ 1.20114620e-05+4.94133774e-01j  5.76366309e-01-1.40103801e-05j]]",(0.479021735475387+6.568629692075561e-06j)
[0.70536408 3.09994154],0.04273033142089844,"[[-0.87992398-0.03667102j -0.01349753+0.3238744j ]
 [-0.01349753+0.3238744j   0.11920874+0.00496805j]]",(1.6044705345602746+0.028541260308163306j)
