Newton-CG,time,matrix,degree
[3.14159265 2.20085177],0.012975215911865234,"[[3.74939946e-33-8.04952069e-50j 1.04997665e-33+6.12323400e-17j]
 [1.04997665e-33-6.12323400e-17j 1.00000000e+00-1.62246176e-17j]]",(0.6897546471506549-0.0086718061802928j)
[3.14159265 2.20085179],0.004988431930541992,"[[ 3.74939946e-33-5.71194936e-50j -1.89762533e-33+6.12323400e-17j]
 [-1.89762533e-33-6.12323400e-17j  1.00000000e+00+2.35359869e-18j]]",(0.8635112841348312-0.033244550783843446j)
[0.70289018 2.90735263],0.12222862243652344,"[[8.81488546e-01-2.77243059e-18j 4.80660861e-19+3.23212762e-01j]
 [4.80660861e-19-3.23212762e-01j 1.18511454e-01-1.22246357e-19j]]",(0.07501891935305083-0.6144065447478357j)
[2.05822017 2.02295861],0.1172637939453125,"[[2.65824349e-01-3.02327252e-18j 2.20313832e-17+4.41771167e-01j]
 [2.20313832e-17-4.41771167e-01j 7.34175651e-01+1.03540748e-17j]]",(0.259750189417852-0.6236265127346727j)
[3.14159265 2.20085179],0.004987001419067383,"[[3.74939946e-33-7.77699354e-50j 2.70977515e-34+6.12323400e-17j]
 [2.70977515e-34-6.12323400e-17j 1.00000000e+00+2.29512558e-17j]]",(1.3170191728824607+1.622898859581721e-17j)
[3.14159265 2.20085178],0.0049517154693603516,"[[3.74939946e-33-6.93739317e-50j 8.13568801e-34+6.12323400e-17j]
 [8.13568801e-34-6.12323400e-17j 1.00000000e+00-1.33521449e-17j]]",(0.5133189859482085-9.441392234123221e-18j)
[3.14159265 2.20085178],0.00498652458190918,"[[3.74939946e-33-4.07220990e-50j 7.52976618e-34+6.12323400e-17j]
 [7.52976618e-34-6.12323400e-17j 1.00000000e+00+3.26787373e-18j]]",(0.3605972730176679+2.3107356710489107e-18j)
[2.50797356 3.79456726],0.06438827514648438,"[[9.70549757e-02-6.08793766e-19j 1.12711003e-17+2.96032612e-01j]
 [1.12711003e-17-2.96032612e-01j 9.02945024e-01+1.13750847e-17j]]",(0.6614871207473658+0.18528303607648844j)
[2.2550394  0.42926059],0.08035731315612793,"[[1.83956672e-01+3.35272760e-18j 1.19662317e-17+3.87448855e-01j]
 [1.19662317e-17-3.87448855e-01j 8.16043328e-01-7.11241032e-18j]]",(0.8318480138668505-0.014222865946304852j)
[3.066803  1.2290673],0.045430660247802734,"[[ 1.39772128e-03-5.32241107e-20j -2.19132114e-18+3.73599740e-02j]
 [-2.19132114e-18-3.73599740e-02j  9.98602279e-01-1.73814645e-18j]]",(0.7071352034713307-0.0011350118832600365j)
