Powell,time,matrix,degree
[1.4962478  4.89724631],0.0358576774597168,"[[ 5.37239747e-01-2.08085746e-17j -8.35258837e-18+4.98611273e-01j]
 [-8.35258837e-18-4.98611273e-01j  4.62760253e-01-1.00169723e-17j]]",(0.16147699000212817+0.4069744321466061j)
[3.14154666 4.71239284],0.03636980056762695,"[[ 5.28857511e-10+2.16280299e-26j -7.80539183e-22+2.29969022e-05j]
 [-7.80539183e-22-2.29969022e-05j  9.99999999e-01+2.85299758e-18j]]",(0.04771106638329452+2.017373781866499e-18j)
[3.14154666 4.71239284],0.03534340858459473,"[[ 5.28857511e-10+1.85840477e-26j -8.85623956e-22+2.29969022e-05j]
 [-8.85623956e-22-2.29969022e-05j  9.99999999e-01+2.18645887e-18j]]",(0.23796417060248598+1.5460598003074121e-18j)
[3.14154666 4.71239284],0.03329873085021973,"[[ 5.28857511e-10+2.16280299e-26j -7.80539183e-22+2.29969022e-05j]
 [-7.80539183e-22-2.29969022e-05j  9.99999999e-01+2.85299758e-18j]]",(0.05339854290454918+2.0173737746761803e-18j)
[1.75152122 4.71238898],0.04453539848327637,"[[ 4.10128646e-01-1.26338091e-17j -1.86751782e-17+4.91856828e-01j]
 [-1.86751782e-17-4.91856828e-01j  5.89871354e-01+1.31650409e-17j]]",(3.0117544522026905e-17-0.49185682831973937j)
[1.59663513e-09 4.71239285e+00],0.09160232543945312,"[[1.00000000e+00-2.72914251e-17j 5.80689785e-26+7.98317563e-10j]
 [5.80689785e-26-7.98317563e-10j 6.37310932e-19-1.52579750e-35j]]",(0.044755035215639616-1.9297951729876368e-17j)
[1.72400555 4.71238898],0.0471348762512207,"[[4.23694730e-01-1.17691789e-18j 1.32922793e-17+4.94143204e-01j]
 [1.32922793e-17-4.94143204e-01j 5.76305270e-01-7.02634124e-18j]]",(3.025754463704683e-17+0.4941432037076047j)
[1.59663513e-09 4.71239287e+00],0.07210612297058105,"[[ 1.00000000e+00-9.31351641e-18j -2.89071858e-26+7.98317567e-10j]
 [-2.89071858e-26-7.98317567e-10j  6.37310937e-19+8.28512255e-36j]]",(0.1323187058614231-6.585650611943352e-18j)
[1.58457885 4.60830753],0.03208303451538086,"[[ 4.93108958e-01+1.31893694e-17j -1.38604182e-17+4.99952511e-01j]
 [-1.38604182e-17-4.99952511e-01j  5.06891042e-01+2.77156170e-17j]]",(0.06406424800128922+0.5518891812623109j)
[1.45256071e-09 4.71245452e+00],0.04827713966369629,"[[ 1.00000000e+00+7.77162048e-18j -1.21861704e-26+7.26280356e-10j]
 [-1.21861704e-26-7.26280356e-10j  5.27483155e-19+6.14159625e-36j]]",(0.1522599771827284+5.495365542436449e-18j)
