shgo,fun,time
[0. 0.],0.26517135174701756,1.458423137664795
[0. 0.],0.047571209104606216,0.005989551544189453
[3.14159265 6.28318531],0.056217945981707276,0.0146636962890625
[3.14159265 6.28318531],0.2921532670133603,0.01196599006652832
[0.62383378 2.10181268],0.5933961429272137,0.4558272361755371
[3.14159265 6.28318531],1.348587346163117,0.0069806575775146484
[1.54727279 3.00347103],0.8259155840096961,0.1153707504272461
[3.14159265 6.28318531],0.4884473441538571,0.012632369995117188
[0. 0.],0.9179587861559528,0.004647493362426758
[3.14159265 6.28318531],0.7953633394593332,0.008126497268676758
